to,pcts,icds,urban,id,from
1315,ALW-BHR-ANN-002,8104030617,FALSE,2177,1315
1318,ALW-BHR-BLP-001,8104030615,FALSE,2180,1318
1323,ALW-BHR-JTG-004,8104030609,FALSE,2193,1323
1323,ALW-BHR-JTG-005,8104030610,FALSE,2195,1323
1324,ALW-BHR-JTG-003,8104030608,FALSE,2192,1324
1324,ALW-BHR-JTG-001,8104030606,FALSE,2194,1324
1324,ALW-BHR-JTG-002,8104030607,FALSE,2191,1324
1325,ALW-BHR-BNH-001,8104030723,FALSE,2196,1325
1331,ALW-BHR-BJR-001,8104030711,FALSE,2210,1331
1332,ALW-BHR-GLW-001,8104030710,FALSE,2211,1332
1333,ALW-BHR-MHR-001,8104030706,FALSE,2215,1333
1333,ALW-BHR-MHR-002,8104030707,FALSE,2214,1333
1333,ALW-BHR-MHR-004,8104030709,FALSE,2213,1333
1333,ALW-BHR-MHR-003,8104030708,FALSE,2212,1333
19988,ALW-BHR-BAS-003,8104030408,FALSE,2132,19988
19988,ALW-BHR-BAS-005,8104030411,FALSE,2134,19988
19988,ALW-BHR-BAS-002,8104030409,FALSE,2133,19988
19988,ALW-BHR-BAS-004,8104030410,FALSE,2131,19988
1300,ALW-BHR-BAS-001,8104030428,FALSE,2148,1300
1336,ALW-BHR-NSR-001,8104030328,FALSE,2221,1336
1337,ALW-BHR-RMS-002,8104030327,FALSE,2222,1337
19832,ALW-BHR-RMS-001,8104030323,FALSE,30383,19832
1339,ALW-BHR-SOR-001,8104030324,FALSE,2224,1339
1341,ALW-BHR-JNP-002,8104030819,FALSE,2228,1341
1341,ALW-BHR-JNP-001,8104030818,FALSE,2229,1341
1341,ALW-BHR-JNP-004,8104030821,FALSE,2227,1341
1341,ALW-BHR-JNP-003,8104030820,FALSE,2226,1341
1342,ALW-BHR-MHM-002,8104030522,FALSE,2231,1342
1342,ALW-BHR-MHM-001,8104030521,FALSE,2230,1342
1343,ALW-BHR-MHM-004,8104030524,FALSE,2232,1343
1342,ALW-BHR-MHM-003,8104030523,FALSE,2233,1342
1344,ALW-BHR-PAH-003,8104030527,FALSE,2235,1344
1344,ALW-BHR-PAH-001,8104030525,FALSE,2237,1344
1344,ALW-BHR-PAH-002,8104030526,FALSE,2236,1344
1344,ALW-BHR-PAH-004,8104030528,FALSE,2234,1344
1345,ALW-BHR-GKL-002,8104030514,FALSE,2240,1345
1345,ALW-BHR-GKL-004,8104030515,FALSE,2238,1345
1347,ALW-BHR-GKL-001,8104030513,FALSE,2239,1347
1346,ALW-BHR-GKL-003,8104030512,FALSE,2241,1346
1348,ALW-BHR-GUN-004,8104030808,FALSE,2242,1348
1348,ALW-BHR-GUN-001,8104030805,FALSE,2243,1348
1348,ALW-BHR-GUN-003,8104030807,FALSE,2245,1348
1348,ALW-BHR-GUN-002,8104030806,FALSE,2244,1348
19759,ALW-BHR-KRK-001,8104030816,FALSE,2261,19759
1356,ALW-BHR-SHR-005,8104030508,FALSE,2248,1350
1356,ALW-BHR-SHR-001,8104030507,FALSE,2262,1356
1349,ALW-BHR-NAL-001,8104030809,FALSE,2246,1349
1350,ALW-BHR-SHR-004,8104030510,FALSE,2250,1350
1350,ALW-BHR-SHR-003,8104030511,FALSE,2247,1350
1350,ALW-BHR-SHR-002,8104030509,FALSE,2814,1350
1352,ALW-BHR-GAD-001,8104030812,FALSE,2255,1352
1352,ALW-BHR-GAD-002,8104030813,FALSE,2254,1352
1352,ALW-BHR-GAD-003,8104030814,FALSE,2252,1352
1352,ALW-BHR-GAD-004,8104030815,FALSE,2253,1352
1327,ALW-BHR-KHP-002,8104030720,FALSE,2197,1327
1353,ALW-BHR-HMD-001,8104030717,FALSE,2258,1353
1353,ALW-BHR-HMD-002,8104030718,FALSE,2256,1353
1326,ALW-BHR-KHP-001,8104030721,FALSE,2199,1326
1326,ALW-BHR-KHP-003,8104030722,FALSE,2198,1326
1328,ALW-BHR-KHO-001,8104030712,FALSE,2200,1328
1328,ALW-BHR-KHO-002,8104030713,FALSE,2201,1328
19956,JP1-KTP-CHO-002,8110140114,FALSE,30453,19956
19956,JP1-KTP-CHO-004,8110140116,FALSE,30450,19956
19956,JP1-KTP-CHO-003,8110140115,FALSE,30449,19956
19956,JP1-KTP-CHO-007,8110140119,FALSE,31331,19562
19957,JP1-KTP-CHO-005,8110140122,FALSE,30451,19957
