to,from,Village Census code,Id,,,,,,
11492,11492,69020,25869,,,,,,
11773,11773,76306,26557,,,,,,
19432,14194,77236,31569,,,,,,
11484,11484,98973,25856,,,,,,
11735,11735,76317,26472,,,,,,
14277,14277,77169,31741,,,,,,
11456,11456,76365,25804,,,,,,
11781,11781,73393,26576,,,,,,
14202,14202,77289,31590,,,,,,
11752,11752,103643,26511,,,,,,
19440,19440,77133,46809,,,,,,
11781,11781,76216,26577,,,,,,
14200,14200,77309,31581,,,,,,
11758,11761,76319,26529,,,,,,
14313,14313,77198,31795,,,,,,
14313,14313,77128,31796,,,,,,
11775,11775,76287,26560,,,,,,
11766,11766,76218,26540,,,,,,
11779,11779,76259,26570,,,,,,
11459,11459,0,25808,,,,,,
11460,11460,0,25810,,,,,,
11782,11782,76224,26580,,,,,,
14283,14266,73705,31720,,,,,,
11752,11752,76206,26512,,,,,,
14301,14301,0,31777,,,,,,
11475,11475,0,25841,,,,,,
19339,14297,77097,31773,,,,,,
19433,14197,77219,31574,,,,,,
14321,14321,77168,31807,,,,,,
11464,11464,76380,25821,,,,,,
14179,14179,77317,31531,,,,,,
11735,11768,76190,26543,,,,,,
11475,11475,76336,25842,,,,,,
11745,11749,76230,26504,,,,,,
14296,14299,77092,31775,,,,,,
11497,11497,76394,25879,,,,,,
11746,11746,78211,26495,,,,,,
11731,11731,91456,26490,,,,,,
14292,14292,77082,31766,,,,,,
14293,14293,77081,31767,,,,,,
11779,11779,76260,26571,,,,,,
11732,11732,87443,26464,,,,,,
14183,14183,77343,31543,,,,,,
14282,14282,94706,31749,,,,,,
11461,11461,76361,25812,,,,,,
11765,11774,73678,26559,,,,,,
11473,11485,76373,25857,,,,,,
14203,14203,77281,31593,,,,,,
14205,14205,77265,31598,,,,,,
14181,14181,77349,31538,,,,,,
11781,11781,76225,40300,,,,,,
14322,11772,94382,31809,,,,,,
11739,11739,76210,26480,,,,,,
11775,11733,76278,26466,,,,,,
11745,11745,76250,26492,,,,,,
14184,14184,0,31544,,,,,,
14281,14281,77159,31747,,,,,,
14323,14323,73366,31811,,,,,,
14294,14294,0,44617,,,,,,
19433,19433,77237,31566,,,,,,
11757,11708,91440,26407,,,,,,
14307,14307,77073,31785,,,,,,
11476,11603,87404,44898,,,,,,
19431,14185,77293,31547,,,,,,
11734,11762,76334,26530,,,,,,
11770,11778,91586,26569,,,,,,
11734,11628,73520,26234,,,,,,
11493,11493,76412,25870,,,,,,
14332,14332,77090,31827,,,,,,
11740,11740,76194,26482,,,,,,
11740,11740,76195,26483,,,,,,
11497,11728,76282,26453,,,,,,
11752,11752,76207,26513,,,,,,
11755,11755,0,26518,,,,,,
14174,14174,77248,31520,,,,,,
11758,11758,78437,26522,,,,,,
11773,11773,76280,26558,,,,,,
14282,14282,77153,31750,,,,,,
14300,14300,77091,31776,,,,,,
14178,14178,74757,31530,,,,,,
14301,14305,77104,31782,,,,,,
19435,14207,77264,31602,,,,,,
14301,14301,73598,31778,,,,,,
11478,11494,76423,25872,,,,,,
11462,11462,78059,25814,,,,,,
14303,14303,78954,26458,,,,,,
11780,11780,76258,26574,,,,,,
11463,11463,73693,25818,,,,,,
11469,11469,76388,25830,,,,,,
14202,14202,77287,31591,,,,,,
11463,11463,76342,25822,,,,,,
14324,14324,77194,31813,,,,,,
14193,14193,77242,31567,,,,,,
11732,11643,103330,26131,,,,,,
14193,14193,92173,31568,,,,,,
11464,11464,92173,25823,,,,,,
14179,14179,77318,31532,,,,,,
14295,14295,77077,31770,,,,,,
14206,14206,77254,31600,,,,,,
11763,11763,78711,26532,,,,,,
14285,14285,75606,31756,,,,,,
11478,11494,0,25873,,,,,,
11495,11495,76420,25874,,,,,,
14210,14210,77205,31608,,,,,,
11470,11470,76390,25831,,,,,,
11777,11777,75067,26566,,,,,,
11775,11775,76286,26561,,,,,,
14282,14282,73649,31751,,,,,,
11486,11486,76427,25860,,,,,,
11771,11771,74438,26552,,,,,,
14288,14288,77144,31761,,,,,,
14283,14283,77162,31752,,,,,,
14200,14200,77311,31582,,,,,,
11769,11769,76192,26545,,,,,,
19435,14207,95272,31603,,,,,,
14198,14198,77284,31576,,,,,,
11732,11737,74879,26478,,,,,,
14306,14306,74461,31783,,,,,,
11498,11498,76436,25881,,,,,,
